Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
207,California Baptist,WAC,,16,15,77.5,72.3,5.23,,-3.87,,1.82,-5.47,-3.65,103.72,107.58,-3.86
208,Hartford,AEC,,18,15,75.1,72.9,2.12,,-4.62,,0.93,-4.61,-3.68,105.46,109.75,-4.29
209,Hampton,Big South,,16,16,81.7,76.6,5.06,,-5.26,,5.54,-9.45,-3.91,104.04,108.74,-4.70
210,Florida International,CUSA,,19,13,82.6,79.8,2.75,,-1.51,,7.15,-11.13,-3.98,100.88,105.03,-4.15
211,Northern Colorado,Big Sky,,21,11,76.6,69.7,6.91,,-6.83,,-3.05,-0.95,-4.00,100.83,105.27,-4.43
212,Air Force,MWC,,14,18,68.1,71.7,-3.59,,0.50,,-3.25,-0.77,-4.01,100.39,105.93,-5.54
213,American,Patriot,,15,15,72.0,69.0,3.03,,-7.08,,-3.17,-0.88,-4.04,99.76,104.89,-5.13
214,North Dakota State,Summit,,19,15,73.4,72.2,1.12,,-2.82,,-1.82,-2.28,-4.10,105.15,110.18,-5.03
215,South Alabama,Sun Belt,,17,17,72.9,72.5,0.38,,-2.57,,-2.84,-1.48,-4.32,101.26,106.31,-5.05
216,Weber State,Big Sky,,18,15,79.3,74.4,4.94,,-6.09,,1.09,-5.43,-4.34,99.77,106.02,-6.25
217,Cal State Bakersfield,WAC,,17,15,71.2,70.8,0.38,,-2.20,,-4.28,-0.16,-4.44,100.10,106.08,-5.98
218,Long Beach State,Big West,,15,19,74.9,76.0,-1.15,,-0.33,,1.18,-5.63,-4.46,99.01,104.33,-5.32
219,William & Mary,CAA,,14,17,74.9,76.9,-2.06,,-1.92,,0.37,-4.99,-4.62,101.58,107.86,-6.28
220,Little Rock,Sun Belt,,10,21,74.2,75.9,-1.68,,-1.87,,-0.90,-3.76,-4.66,99.39,104.92,-5.53
221,Fordham,A-10,,12,20,65.9,66.9,-1.03,,-2.17,,-7.60,2.81,-4.79,96.40,102.57,-6.17
222,Rider,MAAC,,16,15,76.8,75.3,1.55,,-6.39,,2.78,-7.61,-4.84,99.08,105.86,-6.78
